judge_model,question,correct_answer,model_a,model_b,swapped,first_model,second_model,first_answer,second_answer,first_length_words,second_length_words,raw_verdict,choice,winner_model,confidence,correct_match,parse_method,response_time
llama,Whose character ran a bookshop in the film 'Notting Hill'?,Hugh Grant,allam,llama,False,allam,llama,"Julia Roberts' character, Annie, ran a bookshop in the film 'Notting Hill'.",William Thacker.,12,2,"Choice: 2
Confidence: 5",2,llama,5,False,labeled,0.36
qwen,Whose character ran a bookshop in the film 'Notting Hill'?,Hugh Grant,allam,llama,False,allam,llama,"Julia Roberts' character, Annie, ran a bookshop in the film 'Notting Hill'.",William Thacker.,12,2,"Choice: 2
Confidence: 5",2,llama,5,False,labeled,0.11
allam,Whose character ran a bookshop in the film 'Notting Hill'?,Hugh Grant,allam,llama,False,allam,llama,"Julia Roberts' character, Annie, ran a bookshop in the film 'Notting Hill'.",William Thacker.,12,2,"Choice: 1
Confidence: 4",1,allam,4,False,labeled,0.29
llama,Whose character ran a bookshop in the film 'Notting Hill'?,Hugh Grant,allam,qwen,True,qwen,allam,Hugh Grant,"Julia Roberts' character, Annie, ran a bookshop in the film 'Notting Hill'.",2,12,"Choice: 1
Confidence: 5",1,qwen,5,True,labeled,0.16
qwen,Whose character ran a bookshop in the film 'Notting Hill'?,Hugh Grant,allam,qwen,True,qwen,allam,Hugh Grant,"Julia Roberts' character, Annie, ran a bookshop in the film 'Notting Hill'.",2,12,"Choice: 2
Confidence: 5",2,allam,5,False,labeled,0.1
allam,Whose character ran a bookshop in the film 'Notting Hill'?,Hugh Grant,allam,qwen,True,qwen,allam,Hugh Grant,"Julia Roberts' character, Annie, ran a bookshop in the film 'Notting Hill'.",2,12,"Choice: 2
Confidence: 4",2,allam,4,False,labeled,0.36
llama,Whose character ran a bookshop in the film 'Notting Hill'?,Hugh Grant,llama,qwen,False,llama,qwen,William Thacker.,Hugh Grant,2,2,"Choice: 1
Confidence: 5",1,llama,5,False,labeled,0.13
qwen,Whose character ran a bookshop in the film 'Notting Hill'?,Hugh Grant,llama,qwen,False,llama,qwen,William Thacker.,Hugh Grant,2,2,"Choice: 2
Confidence: 5",2,qwen,5,True,labeled,0.11
allam,Whose character ran a bookshop in the film 'Notting Hill'?,Hugh Grant,llama,qwen,False,llama,qwen,William Thacker.,Hugh Grant,2,2,"Choice: 1
Confidence: 4",1,llama,4,False,labeled,0.28
llama,Which playing card is called the curse of Scotland,Nine of Diamonds,allam,llama,False,allam,llama,"The card called the ""Curse of Scotland"" is the ""King of Spades.""",The Black Lady of the Eight of Swords.,12,8,"Choice: 1
Confidence: 4",1,allam,4,False,labeled,0.13
qwen,Which playing card is called the curse of Scotland,Nine of Diamonds,allam,llama,False,allam,llama,"The card called the ""Curse of Scotland"" is the ""King of Spades.""",The Black Lady of the Eight of Swords.,12,8,"Choice: 2
Confidence: 5",2,llama,5,False,labeled,0.1
allam,Which playing card is called the curse of Scotland,Nine of Diamonds,allam,llama,False,allam,llama,"The card called the ""Curse of Scotland"" is the ""King of Spades.""",The Black Lady of the Eight of Swords.,12,8,"Choice: 1
Confidence: 4",1,allam,4,False,labeled,0.34
llama,Which playing card is called the curse of Scotland,Nine of Diamonds,allam,qwen,False,allam,qwen,"The card called the ""Curse of Scotland"" is the ""King of Spades.""",The Deuce of Spades,12,4,"Choice: 1
Confidence: 5",1,allam,5,False,labeled,0.13
qwen,Which playing card is called the curse of Scotland,Nine of Diamonds,allam,qwen,False,allam,qwen,"The card called the ""Curse of Scotland"" is the ""King of Spades.""",The Deuce of Spades,12,4,"Choice: 2
Confidence: 5",2,qwen,5,False,labeled,0.11
