question,answer_text,answer_aliases
Whose character ran a bookshop in the film 'Notting Hill'?,Hugh Grant,hughjohnmungogrant|hugh grant|hugh john mungo grant
Which playing card is called the curse of Scotland,Nine of Diamonds,curse of scotland|nine of diamonds
"""Which is the Muppet character who appeared in """"The Muppet Show"""" from the third season and in a number of Muppet films, who throws fish which return to him and plays a fish organ (a line of fish that, when squeezed, each gargle a different note)?""",Robin (Muppet),frackles|constantine frog|yolanda rat|lew zealand|marvin suggs|crazy harry|anything muppet|beautiful day monster|mildred huxtetter|pops muppet|elvises|link hogthrob|list of muppets|sal minella|waldo c graphic|anything muppets|thog muppet|uncle deadly muppet|andy pig|list of muppet show muppets|clifford muppet|steel rabbit|bobo bear|dr julius strangepork|andy and randy pig|lou zealand|emily bear muppet|johnny fiama|mr poodlepants|randy pig|beauregard muppet|robin frog|robin muppet|bean bunny|sweetums|muppet newsman|80s robot|bubba rat|whatnot muppet|camilla muppet|ma bear|camilla chicken|george janitor|baskerville hound|Robin (Muppet)|The Muppet Newsman|Bubba the Rat|Uncle Deadly (Muppet)|Thog (Muppet)|The Frackles|Emily Bear (Muppet)|George the Janitor|'80s Robot|Camilla the Chicken|Constantine the Frog|Clifford (muppet)|Mr. Poodlepants|Yolanda the Rat|Bobo the bear|Robin The Frog|Camilla (muppet)|Whatnot (Muppet)|Baskerville the Hound|Dr. Julius Strangepork|Pops (Muppet)|The Elvises|Beauregard (Muppet)|Waldo C. Graphic|List of The Muppet Show Muppets
Which town is the capital of Papua New Guinea?,PG-NCD,"port morseby|mosbi|national capital district papua new guinea|pg ncd|port moresby pg ncd|port moresby pg cpm|port moresby papua new guinea|pacific port moresby|port moresby|capital of papua new guinea|PG-NCD|Port Moresby, PG-CPM|National Capital District (Papua New Guinea)|Port Moresby, Papua New Guinea|Pacific/Port Moresby|National Capital District, Papua New Guinea|Port Moresby, PG-NCD"
What is a Teeter-Totter more commonly called?,C-saw,c saw|see saw|teetertotter|teeter toter|seesaw|teeter totter|C-saw|Teeter-totter|Teeter-toter|See-saw
‘Mucke’ is the Serbo-Croatian name for which UK tv series?,Sunglasses Ron,only fools and horses|paddy greek|of h|george trotter|peckham echo|sunglasses ron|yernly fyerls and nesbits|only fools horses|only fools|trotters international traders plc|lovely jubly|voted britain s best sitcom|once upon time in peckham|trotters independent traders|nelson mandella house|Voted Britain's Best Sitcom|Only Fools and Horses...|Only Fools & Horses|Once upon a time in peckham|OF&H|Paddy The Greek
What is the name of the village druid in the comic strip ‘Asterix’?,Unhygienix,fulliautomatix|bacteria comics|pirates asterix|ocatarinetabellatchitchix|chief s shieldbearers|mrs geriatrix|characters in asterix|list of asterix characters|characters of asterix|flaturtha|impedimenta|mrs fulliautomatix|unhygienix|asterix characters|vitalstatistix|postaldistrix|getafix|recurring characters in asterix|geriatrix|iélosubmarine|cacofonix|Mrs. Geriatrix|Pirates (Asterix)|Chief's shieldbearers|Mrs. Fulliautomatix|Bacteria (comics)
What is the Latin motto of the film company Metro-Goldwyn-Mayer has the motto?,Art for art's sake,art for art s sake|ars gratia artis|l art pour l art|Art for art's sake|L'art pour l'art
"In Roman mythology, what was the name of the brother slain by Romulus?",Remus and Romulus,romulus and remus|romulus remus|romulus mythology|remus|remus and romulus|romulus|Romulus (mythology)|Romulus & Remus
The Dude would know that stroking and cranking are the two main types of delivery in what sport?,Bowling pathway,straight and hook bowling|bowling center|🎳|bowling pathway|bowling alley|ten strike|bowling shoe|10 pins|bowling lane|bowling shoes|bowling|nine pin tap|list of bowling styles|Ten-strike
Where certain religions divide the notion of heaven into parts there are generally?,Seven,seven|7
The Frenchman Jean Robert-Houdin (1805-1871) is credited with formalizing what form of entertainment?,Magikal,22magicaly 22|majick|magickal|magic film|magicaly|magic movie|magick disambiguation|low magic|magikal|magick|magic|magiks|magic song|magick single|magic album|magic fm|magical powers|magical record|magick song|magic disambiguation|magically|magic powers|The Magic (disambiguation)|Magick (song)|Magick (disambiguation)|The Magic|%22magicaly%22|Magic (movie)|Magic (album)|Magic (disambiguation)|Magic (song)|Magic (film)|Magick (single)
Which singer had a big 60s No 1 with Roses Are Red?,Bobby Vinton,bobby vinton
Which country is currently ruled by the Chakri dynasty that has been in power since 1782?,Muang Thai,thailand|kingdom of thailand|kingdom of thai|เมืองไทย|prathet thai|name of thailand|thayland|taihland|muang thai|iso 3166 1 th|skateboarding in thailand|thai kingdom|sport in thailand|siam thailand|sayam|siam|ratcha anachak thai|ราชอาณาจักรไทย|etymology of thailand|tailand|thailande|ประเทศไทย|thai empire|ISO 3166-1:TH|Muang-Thai|The Kingdom Of Thailand|Siam (Thailand)|Kingdom of the Thai
What is a female skunk called?,Sows,sows|sow disambiguation|sow|SOW (disambiguation)
"What cocktail typically consists of 3 parts vodka, 1 part apple schnapps, and 1 part cointreau?",Appletini,apple martini|appletini
Catoptromancy is the term for predicting the future using what object? Who's the fairest of them all!,Handmirror,mirror|handmirrors|mirrors|decorative mirrors|glass mirror|silver mirror|hand mirrors|mirror types|reflective glass|looking glass|cheval glass|handmirror|hand mirror|Hand-mirror|Hand-mirrors
"""Whose last recorded words in the House of Commons were: """"I wish everyone, friend or foe, well. And that is that. The end """" ?""",Rt Hon Anthony Blair MP,"tony blair sports foundation|tony blaire|anthony tony blair|toney blair|prime minister tony blair|family of tony blair|blairian|herr blair|rt hon tony blair|tony blaer|anthony charles lynton 22tony 22 blair|tony bliar|anthony charles lynton blair|anthony c l blair|tony blare|tony blair|education education education|education education and education|tonie blair|tony blairs|tony blair pm|tony blari|tonyblair|tony blair s private life|blair doctrine|rt hon anthony blair mp|rt hon anthony charles lynton blair|tony blear|president blair|tony balir|tory blair|anthony charles blair|antony blair|The Tony Blair Sports Foundation|Rt. Hon Tony Blair|Anthony C. L. Blair|Anthony Charles Lynton %22Tony%22 Blair|Anthony (Tony) Blair|Tony Blair's Private life|Education, education and education|Rt. Hon. Anthony Charles Lynton Blair|Education, education, education"
"What can be a legislative body, a collective name for type of bird, and a funk band?",Parliamnet,parlament|parliamnet|parliarment|parliment|parlaiment|cabinet parliamentary|parliamentary government|national parliaments|national parliament|parliaments of europe|parliaments|parliament|Cabinet-parliamentary
Milford Sound in Fiordland National Park that was once judged the world's top travel destination is in which country,N Z,"newzealand|new zealand|aotearoa|kiwistan|new zeland|staten land|staten landt|neo zealand|new zeeland|mew zealand|new zealand s|new zealend|iso 3166 1 nz|nova zeelandia|aotearoa new zealand|nu tirani|subdivisions of new zealand|n zealand|new zealnd|new zealnad|new xealand|administrative divisions of new zealand|maoriland|nzl|niu tireni|new z|its got that new zeal|n z|name of new zealand|enzed|nz|new zaeland|new zelanad|sheepland|etymology of new zealand|kiwiland|māoria|staaten land|nouvelle zelande|Nouvelle-Zelande|New Zealand's|New Zealand.|New Zealand,|New+Zealand|ISO 3166-1:NZ|Aotearoa / New Zealand|New-Zealand|N.Z.|New.Zealand|N. Zealand"
What is the result of raising any number to the power of zero?,1,1|one
Which jazz saxophonist was nicknamed Bird,Charlie Parker,"parker charlie bird|charlie “bird” parker|cool blues|charlie 22bird 22 parker|charles parker jr|charlie parker residence|charlie parker septet|charlie parker|Parker, Charlie Bird|Charles Parker, Jr.|The Charlie Parker Septet|Charlie %22Bird%22 Parker"
209 year ago today was the founding of the United States Military Academy at what New York location?,West point,"cullum number|duty honor country|u s military academy|west point military reservation|west point|united states military acadamy|u s military academy archives|term end exam|us military academy|west point military academy|military academy at west point|west point academy|west point usma|united states military academy at west point|u s military academy at west point|united states military academy usma|camp buckner|united states military academy library|united states military academy|west point museum|west point cadet|west point university|The United States Military Academy|Duty, Honor, Country|U. S. Military Academy|West Point (USMA)|U.S. Military Academy at West Point|United States Military Academy (USMA)|U.S. military academy|U.S. Military Academy Archives"
The Koppen System is a classification system for what?,Climate,world temperatures|global climate|climate system|climates|world temperature|global temperature|climatic|average annual temperature|climate|global temperatures|world climate|climatic zone|average day temperature
In what modern-day country would you find Machu Picchu?,Lower Peru,republic of perú|piruw suyu|iso 3166 1 pe|peruvian republic|perú|piruw ripuwlika|perù|lower peru|republic of peru|el peru|el perú|pérou|peruano|name of peru|peruvia|piruw|peru|república del perú|peruvian|etymology of peru|péru|ISO 3166-1:PE
"Which band have announced they have recorded the official Wales anthem for the upcoming Euro football championship, entitled Together Stronger (C’mon Wales)?",Manic Street Preachers,flicker musician|jenny watkins isnardi|i know i believe in nothing but it is my nothing|70 songs of hatred and failure|manics|manic street preachers|The Manics|Jenny Watkins-Isnardi|Flicker (musician)|The Manic Street Preachers
Which country is separated into two parts by the town of Limbang of Malaysia?,Abode of Peace,"legal system of brunei|state of brunei abode of peace|burnei|human rights in brunei|state of brunei darussalam|brunei darussalam|nation of brunei abode of peace|administrative divisions of brunei|state of brunei|asia brunei|brunei|brunei darrussalam|negara brunei darussalam|brunai|subdivisions of brunei|brunei darsussalam|iso 3166 1 bn|brunei sultanate|abode of peace|nation of brunei|بروني|برني دارالسلا|bruneian sultanate|health in brunei|etymology of brunei|Nation of Brunei, the Abode of Peace|ISO 3166-1:BN|Asia/Brunei|Nation of Brunei, Abode of Peace|State of Brunei, Abode of Peace"
"""Which Shakespeare play features the line: """" The play's the thing / Wherein I'll catch the conscience of the king. """" ?""",The Hamlet,hamlet|flem snopes|hamlet novel|snopes family|The Hamlet|The Hamlet (novel)
