judge_model,topic,model_a,model_b,swapped,first_model,second_model,first_arg_length_words,second_arg_length_words,response_time_sec,confidence,raw_response,winner_model
llama,We should ban human cloning,allam,llama,True,llama,allam,72,80,0.7806110382080078,4.0,"Winner: Argument 1
Confidence: 4",llama
qwen,We should ban human cloning,allam,llama,True,llama,allam,72,80,0.3525111675262451,4.0,"Winner: Argument 1
Confidence: 4",llama
allam,We should ban human cloning,allam,llama,True,llama,allam,72,80,0.5208048820495605,,"Winner: Argument 1, Argument 2, with a confidence of 4. While both arguments present compelling reasons to ban human cloning, Argument 1 focuses on preserving human dignity and values, while Argument 2 addresses",llama
llama,We should ban human cloning,allam,qwen,False,allam,qwen,80,50,0.1551351547241211,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should ban human cloning,allam,qwen,False,allam,qwen,80,50,0.5371420383453369,4.0,"Winner: Argument 2
Confidence: 4",qwen
allam,We should ban human cloning,allam,qwen,False,allam,qwen,80,50,0.31901979446411133,5.0,"Winner: Argument 1 (5)
Confidence: 5",allam
llama,We should ban human cloning,llama,qwen,False,llama,qwen,72,50,0.1477818489074707,3.0,"Winner: Argument 2
Confidence: 3",qwen
qwen,We should ban human cloning,llama,qwen,False,llama,qwen,72,50,0.7212591171264648,3.0,"Winner: Argument 1
Confidence: 3",llama
allam,We should ban human cloning,llama,qwen,False,llama,qwen,72,50,0.5214502811431885,,"Winner: Argument 1, Neither, 3 

While both arguments make valid points regarding the ethical aspects of human cloning, Argument 1 focuses on preventing the commodification of life and the unique challenges cloned individuals may",NEITHER
llama,We should abolish the right to keep and bear arms,allam,llama,False,allam,llama,64,76,0.16667914390563965,5.0,"Winner: Argument 1
Confidence: 5",allam
qwen,We should abolish the right to keep and bear arms,allam,llama,False,allam,llama,64,76,0.3331778049468994,5.0,"Winner: Neither
Confidence: 5",NEITHER
allam,We should abolish the right to keep and bear arms,allam,llama,False,allam,llama,64,76,0.4403047561645508,5.0,"Winner: Argument 2
Confidence: 5",llama
llama,We should abolish the right to keep and bear arms,allam,qwen,False,allam,qwen,64,53,0.41698718070983887,4.0,"Winner: Argument 1
Confidence: 4",allam
qwen,We should abolish the right to keep and bear arms,allam,qwen,False,allam,qwen,64,53,0.5194098949432373,5.0,"Winner: Neither
Confidence: 5",NEITHER
allam,We should abolish the right to keep and bear arms,allam,qwen,False,allam,qwen,64,53,0.3011460304260254,5.0,"Winner: Argument 2 (5)
Confidence: 5",qwen
llama,We should abolish the right to keep and bear arms,llama,qwen,True,qwen,llama,53,76,0.5383429527282715,4.0,"Winner: Argument 2
Confidence: 4",llama
