question,correct_answer,llama_answer,qwen_answer,allam_answer
Whose character ran a bookshop in the film 'Notting Hill'?,Hugh Grant,William Thacker.,Hugh Grant,"Julia Roberts' character, Annie, ran a bookshop in the film 'Notting Hill'."
Which playing card is called the curse of Scotland,Nine of Diamonds,The Black Lady of the Eight of Swords.,The Deuce of Spades,"The card called the ""Curse of Scotland"" is the ""King of Spades."""
"""Which is the Muppet character who appeared in """"The Muppet Show"""" from the third season and in a number of Muppet films, who throws fish which return to him and plays a fish organ (a line of fish that, when squeezed, each gargle a different note)?""",Robin (Muppet),"Rizzo the Rat is not correct, it is  Rowlf's friend,  but the correct answer is  Waldorf's friend,  Waldorf's friend is not correct,  it is  Waldorf's friend,  Waldorf",Dr. Bunsen Honeydew,Kermit the Frog
Which town is the capital of Papua New Guinea?,PG-NCD,Port Moresby.,Port Moresby,Port Moresby
What is a Teeter-Totter more commonly called?,C-saw,See-Saw.,Seesaw,Flipper.
‘Mucke’ is the Serbo-Croatian name for which UK tv series?,Sunglasses Ron,Only Fools and Horses.,The IT Crowd,"""Mucke"" is the Serbo-Croatian name for the UK TV series ""Doc Martin."""
What is the name of the village druid in the comic strip ‘Asterix’?,Unhygienix,Getafix.,Getafix,Getafix
What is the Latin motto of the film company Metro-Goldwyn-Mayer has the motto?,Art for art's sake,Ars Gratia Artis.,Ars Gratia Artis,"""Speciale et perpetua"" is the Latin motto of the film company Metro-Goldwyn-Mayer."
"In Roman mythology, what was the name of the brother slain by Romulus?",Remus and Romulus,Remus.,Remus,Remus
The Dude would know that stroking and cranking are the two main types of delivery in what sport?,Bowling pathway,Bowling.,Bowling,Tennis
Where certain religions divide the notion of heaven into parts there are generally?,Seven,Multiple levels or realms.,multiple levels,Different levels or realms.
The Frenchman Jean Robert-Houdin (1805-1871) is credited with formalizing what form of entertainment?,Magikal,Modern magic.,Magic,Magic
Which singer had a big 60s No 1 with Roses Are Red?,Bobby Vinton,Bobby Vinton.,Bobby Vinton,Shirley Bassey
Which country is currently ruled by the Chakri dynasty that has been in power since 1782?,Muang Thai,Thailand.,Thailand,Thailand
What is a female skunk called?,Sows,A female skunk is called a doe.,Sow,"A female skunk is called a ""meerkat."""
"What cocktail typically consists of 3 parts vodka, 1 part apple schnapps, and 1 part cointreau?",Appletini,Appletini.,Kamikaze,White Russian
Catoptromancy is the term for predicting the future using what object? Who's the fairest of them all!,Handmirror,A mirror. Snow White.,A mirror,Mirrors
"""Whose last recorded words in the House of Commons were: """"I wish everyone, friend or foe, well. And that is that. The end """" ?""",Rt Hon Anthony Blair MP,Tam Dalyell.,Winston Churchill,Margaret Thatcher
"What can be a legislative body, a collective name for type of bird, and a funk band?",Parliamnet,Parliament.,Parliament,"Legislative body: Congress
Collective name for bird: Flock
Funk band: Parliament"
Milford Sound in Fiordland National Park that was once judged the world's top travel destination is in which country,N Z,New Zealand.,New Zealand,New Zealand
What is the result of raising any number to the power of zero?,1,One.,1,1
Which jazz saxophonist was nicknamed Bird,Charlie Parker,Charlie Parker.,Charlie Parker,Charlie Parker
209 year ago today was the founding of the United States Military Academy at what New York location?,West point,West Point.,West Point,West Point
The Koppen System is a classification system for what?,Climate,Climate.,Climate,Climate
In what modern-day country would you find Machu Picchu?,Lower Peru,Peru.,Peru,Peru
"Which band have announced they have recorded the official Wales anthem for the upcoming Euro football championship, entitled Together Stronger (C’mon Wales)?",Manic Street Preachers,Tom Jones and Aled Jones.,Catatonia,Stereophonics
Which country is separated into two parts by the town of Limbang of Malaysia?,Abode of Peace,Brunei.,Brunei,Brunei
"""Which Shakespeare play features the line: """" The play's the thing / Wherein I'll catch the conscience of the king. """" ?""",The Hamlet,Hamlet.,Hamlet,King Lear
"Which BBC TV sitcom about a retired security guard was set at 37 Wyngate Drive in the first series then at 19, Riverbank for the final 5 series?",List of One Foot in the Grave characters,Porridge,Open All Hours,QI
Zebu cattle are famously distinguished by?,Hump,Their distinctive hump.,A hump on their shoulders,Their hump
Which European country has the world’s oldest national flag?,Eastern Denmark,Denmark.,Denmark,Portugal
"What is the common name for Hydrocephalus, a pathological condition whereby fluid is retained within the skull?",Hydrocephalic,Water on the brain.,Water on the brain,"The common name for Hydrocephalus is ""water on the brain""."
What synthetic fiber is used in most bulletproof vests?,Kevlar,Kevlar.,Kevlar,Kevlar
Who had a 60s No 1 hit with This Diamond Ring?,Dave Gonzalez (Gary Lewis & the Playboys),Gary Lewis and the Playboys.,Gary Lewis & the Playboys,Shania Twain
"""""""At night they fly, you better run, these winged things are not much fun."""" """"In the jungle you must wait, until the dice read five or eight."""" """"A tiny bite can make you itch, make you sneeze, make you twitch."""" """"This will not be an easy mission, monkeys slow the expedition."""" Clues from what 1995 movie game?""",Jumangi,Tomb Raider.,Jungle Speed,"Clue from the 1995 movie game ""Jumanji"""
‘Loitering With Intent’ is a 1993 autobiography by which British actor?,Peter o toole,Steve Coogan.,Ray Winstone,Hugh Grant
"In Switzerland, 1978, the corpse of which entertainer was reburied in concrete after it was recovered from extortionists?",Roy Export Company Establishment,Paula Strassmann,Marcel Marceau,Marilyn Monroe
"Translating from the Greek as ""separating circle"", what is the name of the apparent line that separates the earth from the sky?",Horizon distance,Horizon.,Horizon,"The ""separating circle"" is called the ""equator""."
Which member of the cabinet is MP for Maidenhead?,Theresa Mary May,Thérèse Coffey,No current cabinet member,"The MP for Maidenhead is Theresa May, who is the Prime Minister of the United Kingdom."
What was the French sounding winner of the 2011 Epsom Derby?,Pour Moi,Pour Moi,Pour Moi,"The French-trained horse that won the 2011 Epsom Derby is:
Dubawi."
In Architecture what are a series of short upright pillars supporting a coping or rail called?,Baluster,Balusters.,Balusters,Balusters.
David Balfour and Alan Breck are characters in books by which author?,Robert Lewis Balfour Stevenson,Robert Louis Stevenson.,Robert Louis Stevenson,Sir Walter Scott
In which country will you find the 'Carisbrook Rugby Stadium'?,N Z,New Zealand.,New Zealand,New Zealand
Facebook's new music sharing/streaming feature launched in 2015 was called 'Music... ?,Story,Facebook Audio.,On Demand,SoundCloud
Which Shakespeare play begins 'Now is the winter of our discontent'?,"Richard III, King of England",Richard III.,Richard III,Richard III
Which geological perioed falls between the Triassic and the Cretaceous periods?,Dinosaur types of the jurassic,Jurassic period.,Jurassic,Jurassic Period
Justine Thornton is the fiancee of which politician?,Red Ed,Ed Miliband.,John F. Kennedy,Jeremy Corbyn
In which county would you find Chesil Beach?,County of Dorset,Dorset.,Dorset,Dorset
"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",Anna Bullock,Tina Turner.,Rod Stewart,Tina Turner
Chi is the Chinese year of what?,Cock (disambiguation),The Water Snake.,Rooster,"Rat (摩登, Módéng)"
Who was the second wife of Henry VIII?,Anne Boylen,Anne Boleyn.,Anne Boleyn,Anne of Cleves
Who wrote The female of the species more deadly than the male?,Joseph Rudyard Kipling,Rudyard Kipling.,Rudyard Kipling,Rudyard Kipling
In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,John Astin,John Astin,John Astin,Romper Room
"Originating in early central American culture, where on the body would a huarache be worn?",Foot fracture,On the foot.,On the foot,Feet.
If the states of the US are listed alphabetically which is the last that does NOT contain the letter O?,Demographics of West Virginia,South Dakota,Wyoming,Alaska
"""In 1936, whose paper """"On Computable Numbers, with an Application to the Entscheidungsproblem"""" proved that a machine could perform any conceivable mathematical computation if it were able to be represented as an algorithm?""",Alan M. Turing,Alan Turing.,Alan Turing,Alan Turing
What is Chandler's surname in Friends,Bing.com,Bing.,Bing,Bing
Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse Operation,Marsupilami.,The Flintstones,Gomez Addams
"In which city would you find the International Court of Justice, otherwise known as The World Court?",The hague,The Hague.,The Hague,The Hague
Which Scottish author who died in 1930 had Ignatius as one of his christian names?,A Conan Doyle,James Matthew Barrie.,Robert Louis Stevenson,Sir Walter Scott
"In 2009, who became the first woman to referee the World Snooker Championship final?",Michaela Tabb,Jan Verhaas,Janet Minto,Referee
What is the chief river of Burma ?,IRRAWADDY,Irrawaddy River.,Irrawaddy River,The Irrawaddy.
What is a dish of pickled herring fillets wrapped around an onion or gerkhin called,Rollmop,Pickled herring roll.,Matjes,Herring and onion roll
"Known as The Hoosier State, what was the 19th state to join the Union on december 11, 1816?","Indiana, United States",Indiana.,Indiana,Indiana
What was President Gerald Ford's middle name?,Rudolph (disambiguation),Rudolph.,Rudolph,"Gerald Ford's middle name was ""Richard""."
Which illness is commonly treated with the drugs lisinopril and ramipril?,Hypertensive diseases,High blood pressure.,High blood pressure,Hypertension (high blood pressure)
The 'naut' in the words 'astronaut' and 'aeronaut' meant originally what?,Merchant mariner,Latin 'nauta' meaning sailor.,sailor,Seafarer
"Written by Earl Derr Biggers in 1925, 'The House Without A Key' was the first novel to feature which Chinese- American detective?",Charlie Chan,Charlie Chan.,Charlie Chan,Charlie Chan
Which Palestinian co-founded al Fatah in 1957?,Yasir Arafat,Yasser Arafat.,Yasser Arafat,Yasser Arafat
Who was the longest reigning British king?,"George III, King of Great Britain and Ireland","Queen Victoria's reign was the longest, but Queen Elizabeth II surpassed that.",Queen Victoria,Queen Victoria
Who opened the Sydney Opera House in 1973,The Queen (disambiguation),Queen Elizabeth II.,Queen Elizabeth II,Björn Ulvaeus
In the 'Jungle Book' what type of creature was 'Bagheera'?,Panther athletics,Black panther.,Black panther,Black panther.
Which iconic British female singer made the highly regarded album titled '(her first name) in Memphis' ?,Dusty springfield,Amy Winehouse,Amy Winehouse,Adele
What was the name of the private eye played by Trevor Eve on TV in the '70s?,Shoestring (TV series),Sharon.,George Gently,Sonny Crockett
"Which country occupying 47% of South America has states including Amazonas, Sao Paulo, Bahia and Para?",Brazil,Brazil.,Brazil,Brazil
Which English town's Anglo Saxon name was Gipeswic pronounced Gipperswick,"Ipswich, UK",Ipswich.,Ipswich,Winchester
In which English county is there a town called Shitlingthorpe,County Yorkshire,Lincolnshire.,Lincolnshire,Lincolnshire
What is the name of Humphrey Bogart’s character in the film ‘Casablanca’?,Rick Blaine,Rick Blaine.,Rick Blaine,Rick Blaine
The archaeological site of the ancient city of Troy is in which country?,Turkey,Turkey.,Turkey,Turkey
‘The Crafty Cockney’ was the nickname of which British darts player?,Crafty Cockney,Eric Bristow.,John Part,Eric Bristow
"In Greek legend, who turned everything he touched into gold ?",Midas and the Golden Touch,Midas.,Midas,King Midas
Which was the second British motorway,M1 (disambiguation),M1.,M6,A406 North Circular Road
Dame Judi Dench and which other actress played the Widdington sisters in the 2004 film Ladies in Lavender?,Dame Maggie Smith,Dame Judi Dench and Maggie Smith.,Peggy Ashcroft,Maggie Smith
"In 1657, who turned down the opportunity to become King of England?",Cromwell,George Monck.,Oliver Cromwell,Oliver Cromwell
What is either a type of wood or an African-American magazine?,St Helena Ebony,Ebony.,Ebony,African-American magazine: Ebony.
Name the last US president to meet the leader of Cuba before Barack Obama did in 2015?,Eisenhower Dwight,Jimmy Carter.,Jimmy Carter,Bill Clinton
Who did Princess Anne marry in 1992?,Sir Timothy Laurence,Mark Phillips,She did not marry anyone in 1992,Captain Mark Phillips
What was the Paramount Film Company originally called?,Raleigh Studios,The Famous Players Film Company.,Famous Players Film Company,Famous Players-Lasky Corporation
Which British monarch was nicknamed ‘The Sailor King’?,William IV (disambiguation),King William IV.,King George V,Charles II
What nationality was 19th Century author Hans Christian Anderson?,Danish,Danish.,Danish,Danish
"Held at Max Yasgurs 600 acre dairy farm, what event, which opened on Aug 15, 1969, was billed as An Aquarian Exposition: 3 Days of Peace & Music?",Woodstock Music and Art Fair,Woodstock Music and Art Fair.,Woodstock,Woodstock
Two counties in the Irish province of Munster begin with the letter C. One is Cork. Name the other.,CLARE,Clare.,Clare,Kerry
What is the largest natural lake in Wales,Lake Bala,Llyn Tegid.,Llyn Tegid,Llyn Tegid (Bala Lake)
The A23 road connects London to which coastal resort in East Sussex?,Brighthelmstone,Eastbourne.,Brighton,Brighton
"""From which Bob Dylan song does the following come: """"Now you don't talk so loud, now you don't seem so proud about havin' to be scrounging for your next meal""""?""",Like a rolling stone,"""Subterranean Homesick Blues""",Subterranean Homesick Blues,"""Blowin' in the Wind"""
Which fruit can go in the middle of the word aped to make a new word?,Pear (fruit),Apple.,Pear,Pea
Which sought-after item was situated in the kingdom of Colchis?,Golden Fleece (disambiguation),The Golden Fleece.,The Golden Fleece,The Golden Fleece.
Where exactly is the tallest habitable building located in the UK? It is 50 stories high with a height of 235 metres (771 feet) and was completed in 1991?,"Canary Wharf, London","One Canada Square in Canary Wharf, London.",The City of London,"The tallest habitable building in the UK is the Shard, located in London. It is 309.6 metres (1,015 feet) tall and completed in 2012."
"Used in cooking, agar-agar is a gelatin made from what?",Macroalgal,Red algae.,Seaweed,Seaweed
Who was named the best player at Euro 2012 by UEFA ?,Andrés Iniesta Luján,Andres Iniesta.,Andrés Iniesta,Andriy Shevchenko
Which company was built into a world-wide organisation by Ray Kroc?,Mackey D's,McDonald's.,McDonald's,McDonald's
"Perhaps foreshadowing recent events in Ukraine, over what region of the Southern Caucasus did Russia and Georgia go to war in 2008?",Tskhinvali region,South Ossetia.,South Ossetia,South Ossetia
Which country was the birthplace of Henry V111’s first wife Catherine Of Aragon ?,Islands of Spain,Spain.,Spain,Spain
What type of animal was Bambi's friend Flower?,Wood pussy,Skunk.,Raccoon,Flower was a rabbit.
"In Only Fools And Horses, Rodney Trotter shares his middle name with which London football club?",Charlton (disambiguation),Tottenham.,Chelsea,Tottenham Hotspur
Who played the role of George Carter in The Sweeney?,Dennis Waterman,John Thaw,John Thaw,Richard Burton
"Which Frenchman, a football administrator and head of FIFA from 1921 to1954 is regarded as the founder of the football World Cup?",Jules Rimet,Jules Rimet.,Jules Rimet,Jules Rimet
"Because he held the earth on his shoulders, for what Greek figure did Gerardus Mercator name his book of maps?",Atlases,Atlas.,Atlas,Atlas
Which sauce made from ham drippings and coffee and seen in the cuisine of the Southern United States gets its name from its appearance like that of a certain body organ?,Redeye gravy,Liver sauce.,Livermush,Brunswick stew
In which part of the human body can you find the Malleus or Hammer bone ?,THE EAR,The ear.,The middle ear,Ear (tympanic membrane)
Who was the Georgia Peach?,"Cobb, Ty",Ty Cobb.,Frank Sinatra,"Rachael ""Georgia Peach"" Robinson (1942–2007) was an American professional wrestler."
Matt Busby played for Manchester City from 1928 to 1936. Which club did he play for from 1936 to 1941?,Liverpudlian,Liverpool.,Manchester United,Manchester United
"What 1989 best picture Oscar winning movie, based on a play by Alfred Uhry, and co-starring Morgan Freeman, gave Jessica Tandy, at age 80, the award for Best Actress, the oldest winner in history?",Miss Daisy,Driving Miss Daisy.,Driving Miss Daisy,Driving Miss Daisy
"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",Rocco Marchegiano,Rocky Marciano.,Muhammad Ali,Muhammad Ali.
